Id,Label,timeset,account,1,2,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
1,1,"<[8500124.0, 8864142.0]>",0xb6c5814d38d2fe8ad49bb4b60bf3644c750a6911,8500124,8864142,1,0.000113,0.000113,0.000113,8500124,0.002355,1,1,2,1,1,2,7,0.248396,0.249745,8636,0.000144,0
2,2,"<[8521427.0, 8864142.0]>",0xbb2f5ad10573549fb0438cd75fb5a72bb5656e46,8521427,8864142,3,0.00034,0.089053,0.024197,25670182,0.007112,3,9,12,11,57,68,6,0.33045,0.333575,30156.65199,0.000483,0.018182
3,3,"<[8570599.0, 8864142.0]>",0xd39dfbb637b65c2cae4cedb610a8360042ae092b,8570599,8864142,3,0.00034,0.089053,0.024189,25694611,0.007119,3,140,143,12,157,169,6,0.479509,0.49608,6435350.48,0.000506,0.000557
4,4,"<[8570805.0, 8864142.0]>",0xcf105b077e7d61580c09b336f19d12f90ce9746c,8570805,8864142,1,0.000113,0.089166,0.019065,8570599,0.002375,1,8000,8001,1,8000,8001,1,1,1,6288000,0.000081,0
5,5,"<[8571654.0, 8864142.0]>",0xfaa85343c92a6fcbc45a54c47629e63d1e1b79f2,8571654,8864142,2,0.000227,0.089053,0.02064,17302756,0.004794,2,2,4,2,2,4,9,0.127478,0.130202,2416.277645,0.000206,0.083333
6,6,"<[8571689.0, 8864142.0]>",0x9f43923f138dde93a23c262686d2ce1969b3a89c,8571689,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,1,2,1,1,2,7,0.168636,0.169508,784,0.000081,0
7,7,"<[8571924.0, 8864142.0]>",0x674fe86d5a853c9ae6ac36af7cdc4591938aedb9,8571924,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,10,11,1,12,13,7,0.168784,0.170376,7840,0.000081,0
8,8,"<[8571949.0, 8864142.0]>",0x8b25612e95908aff404fca88ff1035ef50b1c92d,8571949,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,1,2,1,1,2,7,0.168636,0.169508,784,0.000081,0
9,9,"<[8571992.0, 8864142.0]>",0x71171fce92afbb8704d9f8a6180086ebc717033f,8571992,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,2,3,3,2,5,7,0.168662,0.169639,798.722222,0.000081,0
10,10,"<[8572002.0, 8864142.0]>",0x2a40b1ab3c0be8138b8078a6230e0c47c70324dd,8572002,8864142,1,0.000113,0.089053,0.019043,8570599,0.002375,1,1,2,1,1,2,7,0.168636,0.169508,14.722222,0.000081,0
